"8 1st characters of ""ID"" field";in which small file?
Flop;0
2h 2d 2c;1
3d 2d 2c;1
3h 2d 2c;1
4d 2d 2c;1
4h 2d 2c;1
5d 2d 2c;1
5h 2d 2c;1
6d 2d 2c;1
6h 2d 2c;1
7d 2d 2c;1
7h 2d 2c;1
8d 2d 2c;1
8h 2d 2c;1
9d 2d 2c;1
9h 2d 2c;1
Ad 2d 2c;1
Ah 2d 2c;1
Jd 2d 2c;1
Jh 2d 2c;1
Kd 2d 2c;1
Kh 2d 2c;1
Qd 2d 2c;1
Qh 2d 2c;1
Td 2d 2c;1
Th 2d 2c;1
3d 3c 2c;1
4c 3c 2c;1
4d 3c 2c;1
5c 3c 2c;1
5d 3c 2c;1
6c 3c 2c;1
6d 3c 2c;1
7c 3c 2c;1
7d 3c 2c;1
8c 3c 2c;1
8d 3c 2c;1
9c 3c 2c;1
9d 3c 2c;1
Ac 3c 2c;1
Ad 3c 2c;1
Jc 3c 2c;1
Jd 3c 2c;1
Kc 3c 2c;1
Kd 3c 2c;1
Qc 3c 2c;1
Qd 3c 2c;1
Tc 3c 2c;1
Td 3c 2c;1
3h 3d 2c;1
4c 3d 2c;1
4d 3d 2c;1
4h 3d 2c;1
5c 3d 2c;1
5d 3d 2c;1
5h 3d 2c;1
6c 3d 2c;1
6d 3d 2c;1
6h 3d 2c;1
7c 3d 2c;1
7d 3d 2c;1
7h 3d 2c;1
8c 3d 2c;1
8d 3d 2c;1
8h 3d 2c;1
9c 3d 2c;1
9d 3d 2c;1
9h 3d 2c;1
Ac 3d 2c;1
Ad 3d 2c;1
Ah 3d 2c;1
Jc 3d 2c;1
Jd 3d 2c;1
Jh 3d 2c;1
Kc 3d 2c;1
Kd 3d 2c;1
Kh 3d 2c;1
Qc 3d 2c;1
Qd 3d 2c;1
Qh 3d 2c;1
Tc 3d 2c;1
Td 3d 2c;1
Th 3d 2c;1
4d 4c 2c;1
5c 4c 2c;1
5d 4c 2c;1
6c 4c 2c;1
6d 4c 2c;1
7c 4c 2c;1
7d 4c 2c;1
8c 4c 2c;1
8d 4c 2c;1
9c 4c 2c;1
9d 4c 2c;1
Ac 4c 2c;1
Ad 4c 2c;1
Jc 4c 2c;1
Jd 4c 2c;1
Kc 4c 2c;1
Kd 4c 2c;1
Qc 4c 2c;1
Qd 4c 2c;1
Tc 4c 2c;1
Td 4c 2c;1
4h 4d 2c;1
5c 4d 2c;1
5d 4d 2c;1
5h 4d 2c;1
6c 4d 2c;1
6d 4d 2c;1
6h 4d 2c;1
7c 4d 2c;1
7d 4d 2c;1
7h 4d 2c;1
8c 4d 2c;1
8d 4d 2c;1
8h 4d 2c;1
9c 4d 2c;1
9d 4d 2c;1
9h 4d 2c;1
Ac 4d 2c;1
Ad 4d 2c;1
Ah 4d 2c;1
Jc 4d 2c;1
Jd 4d 2c;1
Jh 4d 2c;1
Kc 4d 2c;1
